0,1,2
"['additions', 'deletions']",2,[0 0 0 ... 0 0 0]
"['additions', 'deletions']",3,[0 0 0 ... 0 0 0]
"['additions', 'deletions']",4,[1 1 1 ... 1 1 1]
['additions'],2,[0 0 0 ... 0 0 0]
['additions'],3,[0 0 0 ... 0 0 0]
['additions'],4,[0 0 0 ... 0 0 0]
"['commits', 'additions', 'deletions']",2,[0 0 0 ... 0 0 0]
"['commits', 'additions', 'deletions']",3,[0 0 0 ... 0 0 0]
"['commits', 'additions', 'deletions']",4,[1 1 1 ... 1 1 1]
"['commits', 'additions']",2,[0 0 0 ... 0 0 0]
"['commits', 'additions']",3,[0 0 0 ... 0 0 0]
"['commits', 'additions']",4,[0 0 0 ... 0 0 0]
"['commits', 'deletions']",2,[0 0 0 ... 0 0 0]
"['commits', 'deletions']",3,[0 0 0 ... 0 0 0]
"['commits', 'deletions']",4,[0 0 0 ... 0 0 0]
['commits'],2,[0 0 0 ... 0 0 0]
['commits'],3,[0 0 0 ... 0 0 0]
['commits'],4,[0 0 0 ... 0 0 0]
['deletions'],2,[0 0 0 ... 0 0 0]
['deletions'],3,[0 0 0 ... 0 0 0]
['deletions'],4,[0 0 0 ... 0 0 0]
