begin_sha,end_sha,commits,additions,deletions,changed_files,total_time,begin_Dispensables,begin_Bloaters,begin_Change Preventers,begin_Couplers,begin_Object-Orientation Abusers,end_Dispensables,end_Bloaters,end_Change Preventers,end_Couplers,end_Object-Orientation Abusers,cluster,timedelta,formatted_duration
e950ecee512fd87a9c20c233ba6ed224acd2c6e4,a01251c8113aee036fd7f229612a33c33cb5e558,1,6,3,1,24978000000000,2006,1130.0,1130.0,734.0,734.0,1003.0,566.0,566.0,367.0,910.0,0,0 days 06:56:18,0 days 06:56:18
6035a8b7df6b622eb5bebe7814f81e349bbe7eb3,534160f96c5dae071192ddb809261ec7905ddbcd,4,60,0,6,27174000000000,1002,565.0,565.0,367.0,367.0,990.0,563.0,563.0,365.0,891.0,0,0 days 07:32:54,0 days 07:32:54
b9496f9eaf0b9239fcd8b0084d859b4501ccc192,9b59ade990a87a5b8034dcc18be1e997b4f59578,3,72,3,2,43727000000000,1001,565.0,565.0,365.0,365.0,983.0,568.0,568.0,366.0,900.0,0,0 days 12:08:47,0 days 12:08:47
e950ecee512fd87a9c20c233ba6ed224acd2c6e4,152cbea1bce867709afb498d55cc4f609aa3f98d,3,393,107,7,116274000000000,2006,1130.0,1130.0,734.0,734.0,998.0,565.0,565.0,365.0,907.0,0,1 days 08:17:54,1 days 08:17:54
55de3fb7e9ca2ba9c2f7b854aa09fcc3c2224532,a6ed346744c69d19c1000cb0c3ad75d9dd4fe669,38,132,23,7,193769000000000,996,563.0,563.0,365.0,365.0,990.0,563.0,563.0,365.0,891.0,0,2 days 05:49:29,2 days 05:49:29
7c6b435eb08d09f5166c61b84176d3978bd22f80,0652dea6941a25d6acb73eff0e1d36fa07ba28a5,1,8,8,4,73094000000000,993,563.0,563.0,365.0,365.0,996.0,563.0,563.0,365.0,896.0,0,0 days 20:18:14,0 days 20:18:14
7c6b435eb08d09f5166c61b84176d3978bd22f80,f9ec90c4002ddb68d3cb89e88c0d7c48d99979e3,2,68,12,3,72751000000000,993,563.0,563.0,365.0,365.0,990.0,568.0,568.0,368.0,899.0,0,0 days 20:12:31,0 days 20:12:31
7c6b435eb08d09f5166c61b84176d3978bd22f80,bcb99336ab9bfe0d6bf04ea2c66f61dca0554de1,2,263,129,8,28292000000000,993,563.0,563.0,365.0,365.0,986.0,567.0,567.0,369.0,897.0,0,0 days 07:51:32,0 days 07:51:32
7c6b435eb08d09f5166c61b84176d3978bd22f80,9a47dac12f19eefb7f68e1c0263b727da3751213,3,58,30,4,122279000000000,993,563.0,563.0,365.0,365.0,981.0,566.0,566.0,364.0,897.0,0,1 days 09:57:59,1 days 09:57:59
7c6b435eb08d09f5166c61b84176d3978bd22f80,016a433a06506714dcfea5ccb806f758770135e1,1,1,1,1,43691000000000,993,563.0,563.0,365.0,365.0,981.0,566.0,566.0,364.0,897.0,0,0 days 12:08:11,0 days 12:08:11
d467ffad62f6acb33a61b6a9919f5cc50bb30f50,035c9eaee21198c9633bd201d5307ac7ecb75385,6,108,1,5,135635000000000,990,563.0,563.0,365.0,365.0,983.0,568.0,568.0,366.0,900.0,0,1 days 13:40:35,1 days 13:40:35
b3b34150e791cceff239f195193bb1c779eeeea1,7a73a7a37721f3f793fe69becf5fad6f22b3a43e,1,229,0,13,312810000000000,990,563.0,563.0,365.0,365.0,981.0,565.0,565.0,364.0,897.0,0,3 days 14:53:30,3 days 14:53:30
43d8e667c375bb9fe8829ba50b86f7a87e3edf5f,9d87d5278e95632301f87fa74e32a111a04788b9,19,865,614,115,499140000000000,990,563.0,563.0,365.0,365.0,1962.0,1130.0,1130.0,728.0,1794.0,0,5 days 18:39:00,5 days 18:39:00
1fa35d6f95634569bb3641175269f35fbfd868d8,72a9af46dba370124338216cb9d681f2190bf268,3,11,8,2,486106000000000,983,568.0,568.0,366.0,366.0,981.0,566.0,566.0,364.0,897.0,0,5 days 15:01:46,5 days 15:01:46
11cc6190c882eee9677a9d962c700b9e122d7ee1,b3b34150e791cceff239f195193bb1c779eeeea1,5,166,4,10,101513000000000,983,568.0,568.0,366.0,366.0,993.0,564.0,564.0,368.0,900.0,0,1 days 04:11:53,1 days 04:11:53
11cc6190c882eee9677a9d962c700b9e122d7ee1,88ad6d1ec19816c7123f1d70afe2fa1c3fdf80a6,1,41,63,2,96556000000000,983,568.0,568.0,366.0,366.0,981.0,566.0,566.0,364.0,897.0,0,1 days 02:49:16,1 days 02:49:16
a19221c37ab6c078278675c8afea68f692baabae,f14cfb10931e91303c98dd38c428e921172635bb,2,2,0,2,367163000000000,983,568.0,568.0,366.0,366.0,1962.0,1130.0,1130.0,728.0,1794.0,0,4 days 05:59:23,4 days 05:59:23
3856363126cb6c1e3f05e8af0ba76f01feec2b24,1fa35d6f95634569bb3641175269f35fbfd868d8,1,47,44,8,11043000000000,983,568.0,568.0,366.0,366.0,986.0,567.0,567.0,369.0,897.0,0,0 days 03:04:03,0 days 03:04:03
2dbc154798bd5f332dcae593a2e971f987762183,ab04652616adb6da33eaf6625e106f8f4b688a0a,1,45,6,3,88045000000000,986,567.0,567.0,369.0,369.0,978.0,559.0,559.0,363.0,908.0,0,1 days 00:27:25,1 days 00:27:25
8fb441b7d67a62feec6e45b6fc9d908074791889,57d8a4144a2668e104f9ffeebb9e80134a3930da,3,81,57,3,47147000000000,986,567.0,567.0,369.0,369.0,1962.0,1132.0,1132.0,728.0,1794.0,0,0 days 13:05:47,0 days 13:05:47
