,col,cluter0_q3,cluter0_q1,shape_c0_q3,shape_c0_q1,cv_q3_c0,cv_q1_c0,label,median_0,cluter2_q3,cluter2_q1,shape_c2_q3,shape_c2_q1,cv_q3_c2,cv_q1_c2,median_2,cluter1_q3,cluter1_q1,shape_c1_q3,shape_c1_q1,cv_q3_c1,cv_q1_c1,median_1,Q3,Q1,max_q3_equa,min_q3_equa,max_q1_equa,min_q1_equa
17240,"['D_change' 'C_change' 'D_percent' 'B_percent' 'CP_percent' 'C_percent'
 'OOA_percent']",[78.63486111],[2.94472222],"[array([254,  12])]","[array([254,  12])]",[106.76494688],[97.8762335],[0 0 0 ... 0 1 1],19.403333333333332,[348.23763889],[1.72708333],"[array([ 9, 12])]","[array([ 9, 12])]",[38.4670659],[25.85548541],29.323888888888888,[19.40555556],[1.98875],"[array([ 5, 12])]","[array([ 5, 12])]",[108.42600168],[59.13044682],9.760277777777777,438.4427777777778,1.6235185185185184,438.4427777777778,76.43240740740741,9.300648148148147,1.6235185185185184
19,['D_change' 'C_percent'],[31.25388889],[2.42777778],"[array([4, 7])]","[array([4, 7])]",[95.6071106],[74.05548474],[1 1 1 ... 1 0 0],13.783611111111112,[308.30875],[1.83472222],"[array([8, 7])]","[array([8, 7])]",[39.85119713],[26.66988476],27.27166666666667,[78.63486111],[2.91201389],"[array([256,   7])]","[array([256,   7])]",[107.12815615],[96.46992939],19.30361111111111,369.40648148148153,1.4363888888888894,369.40648148148153,62.34064814814815,9.304259259259256,1.4363888888888894
154,['D_change' 'D_percent' 'C_percent'],[78.63486111],[2.91201389],"[array([256,   8])]","[array([256,   8])]",[107.12815615],[96.46992939],[0 0 0 ... 0 1 1],19.30361111111111,[308.30875],[1.83472222],"[array([8, 8])]","[array([8, 8])]",[39.85119713],[26.66988476],27.27166666666667,[31.25388889],[2.42777778],"[array([4, 8])]","[array([4, 8])]",[95.6071106],[74.05548474],13.783611111111112,369.40648148148153,1.4363888888888894,369.40648148148153,77.165,14.97212962962963,1.4363888888888894
2688,['D_change' 'CP_change' 'D_percent' 'B_percent' 'OOA_percent'],[299.30458333],[1.43763889],"[array([ 8, 10])]","[array([ 8, 10])]",[45.15757411],[32.92279266],[2 2 2 ... 2 1 1],19.644166666666667,[80.51416667],[2.9475],"[array([255,  10])]","[array([255,  10])]",[107.40434098],[97.53155801],19.56277777777778,[23.01451389],[2.10569444],"[array([ 5, 10])]","[array([ 5, 10])]",[100.32422259],[59.13044682],9.760277777777777,368.38675925925924,2.0131481481481477,369.40648148148153,77.165,14.97212962962963,1.4363888888888894
18,['D_change' 'D_percent'],[75.51215278],[2.82479167],"[array([256,   7])]","[array([256,   7])]",[107.4243587],[95.84434145],[0 0 0 ... 0 1 1],19.09638888888889,[267.04340278],[5.25819444],"[array([11,  7])]","[array([11,  7])]",[49.18471233],[57.63952655],51.97347222222222,[0.45826389],[0.25534722],"[array([1, 7])]","[array([1, 7])]",[0.],[0.],0.35680555555555554,355.4468518518518,6.670462962962962,355.4468518518518,67.0222222222222,10.699166666666665,1.763333333333333
80004,"['begin_D' 'begin_B' 'begin_CP' 'end_CP' 'end_C' 'D_change' 'C_change'
 'D_percent' 'B_percent' 'CP_percent' 'C_percent']",[90.09361111],[7.33111111],"[array([88, 16])]","[array([88, 16])]",[95.00078807],[99.72088129],[2 2 2 ... 1 1 1],24.808333333333334,[156.89493056],[4.97652778],"[array([72, 16])]","[array([72, 16])]",[88.20884852],[111.4538921],40.693194444444444,[37.30680556],[1.51847222],"[array([108,  16])]","[array([108,  16])]",[97.82977899],[83.70529312],11.549722222222222,159.45083333333335,7.7501851851851855,159.45083333333335,63.99120370370372,10.572037037037035,1.9607407407407405
107720,"['begin_B' 'begin_CP' 'begin_C' 'begin_OOA' 'end_D' 'end_B' 'D_change'
 'B_change' 'B_percent' 'CP_percent' 'C_percent' 'OOA_percent']",[156.89493056],[4.43555556],"[array([73, 17])]","[array([73, 17])]",[88.22609643],[109.88563814],[0 0 0 ... 1 1 1],37.490833333333335,[90.80916667],[7.98236111],"[array([84, 17])]","[array([84, 17])]",[85.67928548],[98.30960754],24.927777777777777,[37.76444444],[1.44388889],"[array([111,  17])]","[array([111,  17])]",[98.6046038],[85.78848897],11.459166666666667,158.84064814814815,8.717962962962963,158.84064814814815,58.11111111111112,10.087777777777779,2.0799074074074073
236,['begin_D' 'end_D' 'D_change' 'OOA_change'],[35.09194444],[1.23055556],"[array([88,  9])]","[array([88,  9])]",[103.9755266],[83.03252761],[1 1 1 ... 0 0 0],9.683055555555555,[70.74222222],[5.29305556],"[array([94,  9])]","[array([94,  9])]",[84.80457106],[95.58660749],20.191111111111113,[146.78201389],[6.52909722],"[array([86,  9])]","[array([86,  9])]",[88.11994323],[110.07692181],42.25097222222222,148.92009259259257,7.064722222222223,355.4468518518518,67.0222222222222,10.699166666666665,1.763333333333333
2953,['begin_D' 'begin_B' 'end_D' 'D_change' 'CP_change' 'C_change'],[35.64638889],[1.29145833],"[array([91, 11])]","[array([91, 11])]",[101.58043708],[84.30764114],[1 1 1 ... 0 0 0],10.17597222222222,[71.35743056],[5.40659722],"[array([91, 11])]","[array([91, 11])]",[83.43567514],[94.74393503],20.048611111111114,[146.78201389],[5.89652778],"[array([85, 11])]","[array([85, 11])]",[88.42942188],[113.01305265],41.9525,148.18083333333334,6.140092592592594,158.84064814814815,58.11111111111112,10.087777777777779,2.0799074074074073
3250,['begin_D' 'begin_CP' 'end_D' 'D_change' 'B_change' 'D_percent'],[71.35743056],[5.40659722],"[array([91, 11])]","[array([91, 11])]",[83.43567514],[94.74393503],[2 2 2 ... 1 1 1],20.048611111111114,[146.78201389],[5.89652778],"[array([85, 11])]","[array([85, 11])]",[88.42942188],[113.01305265],41.9525,[35.64638889],[1.29145833],"[array([91, 11])]","[array([91, 11])]",[101.58043708],[84.30764114],10.17597222222222,148.18083333333334,6.140092592592592,438.4427777777778,76.43240740740741,9.300648148148147,1.6235185185185184
